Date,SP500,VIX,FEDFUNDS,CPI,UNRATE,M2,SENTIMENT,OIL,GS10
2004-03-31,1126.2099609375,16.739999771118164,1.0,187.1,5.8,6157.9,95.8,35.75,3.83
2004-04-30,1107.300048828125,17.190000534057617,1.0,187.4,5.6,6198.9,94.2,37.31,4.35
2004-05-31,1120.6800537109375,15.5,1.0,188.2,5.6,6275.7,90.2,39.9,4.72
2004-06-30,1140.8399658203125,14.34000015258789,1.03,188.9,5.6,6277.9,95.6,36.92,4.73
2004-07-31,1101.719970703125,15.319999694824219,1.26,189.1,5.5,6291.1,96.7,43.72,4.5
2004-08-31,1104.239990234375,15.289999961853027,1.43,189.2,5.4,6317.8,95.9,42.23,4.28
2004-09-30,1114.5799560546875,13.34000015258789,1.61,189.8,5.4,6352.2,94.2,49.56,4.13
2004-10-31,1130.199951171875,16.270000457763672,1.76,190.8,5.5,6379.8,91.7,51.78,4.1
2004-11-30,1173.8199462890625,13.239999771118164,1.93,191.7,5.4,6406.3,92.8,49.16,4.19
2004-12-31,1211.9200439453125,13.289999961853027,2.16,191.7,5.4,6424.5,97.1,43.36,4.23
2005-01-31,1181.27001953125,12.819999694824219,2.28,191.6,5.3,6430.8,95.5,48.25,4.22
2005-02-28,1203.5999755859375,12.079999923706055,2.5,192.4,5.4,6438.9,94.1,51.75,4.17
2005-03-31,1180.5899658203125,14.020000457763672,2.63,193.1,5.2,6448.3,92.6,55.31,4.5
2005-04-30,1156.8499755859375,15.3100004196167,2.79,193.7,5.2,6461.8,87.7,49.2,4.34
2005-05-31,1191.5,13.289999961853027,3.0,193.6,5.1,6479.0,86.9,52.08,4.14
2005-06-30,1191.3299560546875,12.039999961853027,3.04,193.7,5.0,6511.7,96.0,56.63,4.0
2005-07-31,1234.1800537109375,11.569999694824219,3.26,194.9,5.0,6543.5,96.5,60.71,4.18
2005-08-31,1220.3299560546875,12.600000381469727,3.5,196.1,4.9,6576.3,89.1,68.63,4.26
2005-09-30,1228.81005859375,11.920000076293945,3.62,198.8,5.0,6610.1,76.9,66.21,4.2
2005-10-31,1207.010009765625,15.319999694824219,3.78,199.1,5.0,6643.9,74.2,59.8,4.46
2005-11-30,1249.47998046875,12.0600004196167,4.0,198.1,5.0,6660.7,81.6,57.33,4.54
2005-12-31,1248.2900390625,12.069999694824219,4.16,198.1,4.9,6687.8,91.5,61.06,4.47
2006-01-31,1280.0799560546875,12.949999809265137,4.29,199.3,4.7,6730.1,91.2,67.86,4.42
2006-02-28,1280.6600341796875,12.34000015258789,4.49,199.4,4.8,6754.7,86.7,61.37,4.57
2006-03-31,1294.8699951171875,11.390000343322754,4.59,199.7,4.7,6769.3,88.9,66.25,4.72
2006-04-30,1310.6099853515625,11.59000015258789,4.79,200.7,4.7,6806.9,87.4,71.8,4.99
2006-05-31,1270.0899658203125,16.440000534057617,4.94,201.3,4.6,6813.7,79.1,71.42,5.11
2006-06-30,1270.199951171875,13.079999923706055,4.99,201.8,4.6,6851.8,84.9,73.94,5.11
2006-07-31,1276.6600341796875,14.949999809265137,5.24,202.9,4.7,6893.6,84.7,74.56,5.09
2006-08-31,1303.8199462890625,12.3100004196167,5.25,203.8,4.7,6925.1,82.0,70.38,4.88
2006-09-30,1335.8499755859375,11.979999542236328,5.25,202.8,4.5,6952.4,85.4,62.9,4.72
2006-10-31,1377.93994140625,11.100000381469727,5.25,201.9,4.4,7001.7,93.6,58.72,4.73
2006-11-30,1400.6300048828125,10.90999984741211,5.25,202.0,4.5,7037.2,92.1,62.97,4.6
2006-12-31,1418.300048828125,11.5600004196167,5.24,203.1,4.4,7080.1,91.7,60.85,4.56
2007-01-31,1438.239990234375,10.420000076293945,5.25,203.437,4.6,7118.3,96.9,58.17,4.76
2007-02-28,1406.8199462890625,15.420000076293945,5.26,204.226,4.5,7134.3,91.3,61.78,4.72
2007-03-31,1420.8599853515625,14.640000343322754,5.26,205.288,4.4,7168.2,88.4,65.94,4.56
2007-04-30,1482.3699951171875,14.220000267028809,5.25,205.904,4.5,7240.7,87.1,65.78,4.69
2007-05-31,1530.6199951171875,13.050000190734863,5.25,206.755,4.4,7254.6,88.3,64.02,4.75
2007-06-30,1503.3499755859375,16.229999542236328,5.25,207.234,4.6,7287.8,85.3,70.47,5.1
2007-07-31,1455.27001953125,23.520000457763672,5.26,207.603,4.7,7318.7,90.4,78.2,5.0
2007-08-31,1473.989990234375,23.3799991607666,5.02,207.667,4.6,7394.8,83.4,73.98,4.67
2007-09-30,1526.75,18.0,4.94,208.547,4.7,7413.0,83.4,81.64,4.52
2007-10-31,1549.3800048828125,18.530000686645508,4.76,209.19,4.7,7428.1,80.9,94.16,4.53
2007-11-30,1481.1400146484375,22.8700008392334,4.49,210.834,4.7,7453.6,76.1,88.6,4.15
2007-12-31,1468.3599853515625,22.5,4.24,211.445,5.0,7483.9,75.5,95.95,4.1
2008-01-31,1378.550048828125,26.200000762939453,3.94,212.174,5.0,7517.5,78.4,91.67,3.74
2008-02-29,1330.6300048828125,26.540000915527344,2.98,212.687,4.9,7604.0,70.8,101.78,3.74
2008-03-31,1322.699951171875,25.610000610351562,2.61,213.448,5.1,7670.0,69.5,101.54,3.51
2008-04-30,1385.5899658203125,20.790000915527344,2.28,213.942,5.0,7712.5,62.6,113.7,3.68
2008-05-31,1400.3800048828125,17.829999923706055,1.98,215.208,5.4,7725.2,59.8,127.35,3.88
2008-06-30,1280.0,23.950000762939453,2.0,217.463,5.6,7743.9,56.4,139.96,4.1
2008-07-31,1267.3800048828125,22.940000534057617,2.01,219.016,5.8,7791.2,61.2,124.17,4.01
2008-08-31,1282.8299560546875,20.649999618530273,2.0,218.69,6.1,7805.8,63.0,115.55,3.89
2008-09-30,1166.3599853515625,39.38999938964844,1.81,218.877,6.1,7872.4,70.3,100.7,3.69
2008-10-31,968.75,59.88999938964844,0.97,216.995,6.5,7974.9,57.6,68.1,3.81
2008-11-30,896.239990234375,55.279998779296875,0.39,213.153,6.8,8027.0,55.3,55.21,3.53
2008-12-31,903.25,40.0,0.16,211.398,7.3,8204.7,60.1,44.6,2.42
2009-01-31,825.8800048828125,44.84000015258789,0.15,211.933,7.8,8289.0,61.2,41.73,2.52
2009-02-28,735.0900268554688,46.349998474121094,0.22,212.705,8.3,8319.3,56.3,44.15,2.87
2009-03-31,797.8699951171875,44.13999938964844,0.18,212.495,8.7,8386.4,57.3,49.64,2.82
2009-04-30,872.8099975585938,36.5,0.15,212.709,9.0,8391.1,65.1,50.35,2.93
2009-05-31,919.1400146484375,28.920000076293945,0.18,213.022,9.4,8449.2,68.7,66.31,3.29
2009-06-30,919.3200073242188,26.350000381469727,0.21,214.79,9.5,8459.3,70.8,69.82,3.72
2009-07-31,987.47998046875,25.920000076293945,0.16,214.726,9.5,8463.5,66.0,69.26,3.56
2009-08-31,1020.6199951171875,26.010000228881836,0.16,215.445,9.6,8463.0,65.7,69.97,3.59
2009-09-30,1057.0799560546875,25.610000610351562,0.15,215.861,9.8,8461.6,73.5,70.46,3.4
2009-10-31,1036.18994140625,30.690000534057617,0.12,216.509,10.0,8487.9,70.6,77.04,3.39
2009-11-30,1095.6300048828125,24.510000228881836,0.12,217.234,9.9,8517.0,67.4,77.19,3.4
2009-12-31,1115.0999755859375,21.68000030517578,0.12,217.347,9.9,8512.2,72.5,79.39,3.59
2010-01-31,1073.8699951171875,24.6200008392334,0.11,217.488,9.8,8477.7,74.4,72.85,3.73
2010-02-28,1104.489990234375,19.5,0.13,217.281,9.8,8527.3,73.6,79.72,3.69
2010-03-31,1169.4300537109375,17.59000015258789,0.16,217.353,9.9,8523.5,73.6,83.45,3.73
2010-04-30,1186.68994140625,22.049999237060547,0.2,217.403,9.9,8554.8,72.2,86.07,3.85
2010-05-31,1089.4100341796875,32.06999969482422,0.2,217.29,9.6,8609.0,73.6,74.0,3.42
2010-06-30,1030.7099609375,34.540000915527344,0.18,217.199,9.4,8628.1,76.0,75.59,3.2
2010-07-31,1101.5999755859375,23.5,0.18,217.605,9.4,8639.5,67.8,78.85,3.01
2010-08-31,1049.3299560546875,26.049999237060547,0.19,217.923,9.5,8687.9,68.9,71.93,2.7
2010-09-30,1141.199951171875,23.700000762939453,0.19,218.275,9.5,8718.7,68.2,79.95,2.65
2010-10-31,1183.260009765625,21.200000762939453,0.19,219.035,9.4,8768.4,67.7,81.45,2.54
2010-11-30,1180.550048828125,23.540000915527344,0.19,219.59,9.8,8789.0,71.6,84.12,2.76
2010-12-31,1257.6400146484375,17.75,0.18,220.472,9.3,8823.2,74.5,91.38,3.29
2011-01-31,1286.1199951171875,19.530000686645508,0.17,221.187,9.1,8849.0,74.2,90.99,3.39
2011-02-28,1327.219970703125,18.350000381469727,0.16,221.898,9.0,8913.3,77.5,97.1,3.58
2011-03-31,1325.8299560546875,17.739999771118164,0.14,223.046,9.0,8971.5,67.5,106.19,3.41
2011-04-30,1363.6099853515625,14.75,0.1,224.093,9.1,9035.1,69.8,113.39,3.46
2011-05-31,1345.199951171875,15.449999809265137,0.09,224.806,9.0,9107.8,74.3,102.7,3.17
2011-06-30,1320.6400146484375,16.520000457763672,0.09,224.806,9.1,9182.1,71.5,95.3,3.0
2011-07-31,1292.280029296875,25.25,0.07,225.395,9.0,9344.2,63.7,95.68,3.0
2011-08-31,1218.8900146484375,31.6200008392334,0.1,226.106,9.0,9531.0,55.8,88.81,2.3
2011-09-30,1131.4200439453125,42.959999084472656,0.08,226.597,9.0,9551.5,59.5,78.93,1.98
2011-10-31,1253.300048828125,29.959999084472656,0.07,226.75,8.8,9584.4,60.8,93.19,2.15
2011-11-30,1246.9599609375,27.799999237060547,0.08,227.169,8.6,9636.5,63.7,100.36,2.01
2011-12-31,1257.5999755859375,23.399999618530273,0.07,227.223,8.5,9683.9,69.9,98.83,1.98
2012-01-31,1312.4100341796875,19.440000534057617,0.08,227.842,8.3,9757.6,75.0,98.46,1.97
2012-02-29,1365.6800537109375,18.43000030517578,0.1,228.329,8.3,9809.8,75.3,107.08,1.97
2012-03-31,1408.469970703125,15.5,0.13,228.807,8.2,9853.9,76.2,103.03,2.17
2012-04-30,1397.9100341796875,17.149999618530273,0.14,229.187,8.2,9907.7,76.4,104.89,2.05
2012-05-31,1310.3299560546875,24.059999465942383,0.16,228.713,8.2,9951.4,79.3,86.52,1.8
2012-06-30,1362.1600341796875,17.079999923706055,0.16,228.524,8.2,10021.6,73.2,85.04,1.62
2012-07-31,1379.3199462890625,18.93000030517578,0.16,228.59,8.2,10074.5,72.3,88.08,1.53
2012-08-31,1406.5799560546875,17.469999313354492,0.13,229.918,8.1,10145.6,74.3,96.47,1.68
2012-09-30,1440.6700439453125,15.729999542236328,0.14,231.015,7.8,10226.1,78.3,92.18,1.72
2012-10-31,1412.1600341796875,18.600000381469727,0.16,231.638,7.8,10292.4,82.6,86.23,1.75
2012-11-30,1416.1800537109375,15.869999885559082,0.16,231.249,7.7,10361.9,82.7,88.54,1.65
2012-12-31,1426.18994140625,18.020000457763672,0.16,231.221,7.9,10484.1,72.9,91.83,1.72
2013-01-31,1498.1099853515625,14.279999732971191,0.14,231.679,8.0,10508.1,73.8,97.65,1.91
2013-02-28,1514.6800537109375,15.510000228881836,0.15,232.937,7.7,10527.5,77.6,92.03,1.98
2013-03-31,1569.18994140625,12.699999809265137,0.14,232.282,7.5,10583.8,78.6,97.24,1.96
2013-04-30,1597.5699462890625,13.520000457763672,0.15,231.797,7.6,10611.3,76.4,93.22,1.76
2013-05-31,1630.739990234375,16.299999237060547,0.11,231.893,7.5,10646.1,84.5,91.93,1.93
2013-06-30,1606.280029296875,16.860000610351562,0.09,232.445,7.5,10703.3,84.1,96.36,2.3
2013-07-31,1685.72998046875,13.449999809265137,0.09,232.9,7.3,10742.8,85.1,105.1,2.58
2013-08-31,1632.969970703125,17.010000228881836,0.08,233.456,7.2,10801.2,82.1,107.98,2.74
2013-09-30,1681.550048828125,16.600000381469727,0.08,233.544,7.2,10862.0,77.5,102.36,2.81
2013-10-31,1756.5400390625,13.75,0.09,233.669,7.2,10986.3,73.2,96.29,2.62
2013-11-30,1805.81005859375,13.699999809265137,0.08,234.1,6.9,10995.6,75.1,92.55,2.72
2013-12-31,1848.3599853515625,13.720000267028809,0.09,234.719,6.7,11060.1,82.5,98.17,2.9
2014-01-31,1782.5899658203125,18.40999984741211,0.07,235.288,6.6,11130.8,81.2,97.55,2.86
2014-02-28,1859.449951171875,14.0,0.07,235.547,6.7,11196.8,81.6,102.88,2.71
2014-03-31,1872.3399658203125,13.880000114440918,0.08,236.028,6.7,11232.6,80.0,101.57,2.72
2014-04-30,1883.949951171875,13.40999984741211,0.09,236.468,6.2,11277.7,84.1,100.07,2.71
2014-05-31,1923.5699462890625,11.399999618530273,0.09,236.918,6.3,11342.8,81.9,103.4,2.56
2014-06-30,1960.22998046875,11.569999694824219,0.1,237.231,6.1,11398.1,82.5,106.07,2.6
2014-07-31,1930.6700439453125,16.950000762939453,0.09,237.498,6.2,11453.0,81.8,98.23,2.54
2014-08-31,2003.3699951171875,12.09000015258789,0.09,237.46,6.1,11477.3,82.5,97.86,2.42
2014-09-30,1972.2900390625,16.309999465942383,0.09,237.477,5.9,11519.1,84.6,91.17,2.53
2014-10-31,2018.050048828125,14.029999732971191,0.09,237.43,5.7,11593.1,86.9,80.53,2.3
2014-11-30,2067.56005859375,13.329999923706055,0.09,236.983,5.8,11634.2,88.8,65.94,2.33
2014-12-31,2058.89990234375,19.200000762939453,0.12,236.252,5.6,11717.6,93.6,53.45,2.21
2015-01-31,1994.989990234375,20.969999313354492,0.11,234.747,5.7,11805.2,98.1,47.79,1.88
2015-02-28,2104.5,13.34000015258789,0.11,235.342,5.5,11922.8,95.4,49.84,1.98
2015-03-31,2067.889892578125,15.289999961853027,0.11,235.976,5.4,11920.5,93.0,47.72,2.04
2015-04-30,2085.510009765625,14.550000190734863,0.12,236.222,5.4,11954.6,95.9,59.62,1.94
2015-05-31,2107.389892578125,13.84000015258789,0.12,237.001,5.6,11982.6,90.7,60.25,2.2
2015-06-30,2063.110107421875,18.229999542236328,0.13,237.657,5.3,12023.2,96.1,59.48,2.36
2015-07-31,2103.840087890625,12.119999885559082,0.13,238.034,5.2,12067.0,93.1,47.11,2.32
2015-08-31,1972.1800537109375,28.43000030517578,0.14,238.033,5.1,12112.0,91.9,49.2,2.17
2015-09-30,1920.030029296875,24.5,0.14,237.498,5.0,12173.9,87.2,45.06,2.17
2015-10-31,2079.360107421875,15.069999694824219,0.12,237.733,5.0,12225.2,90.0,46.6,2.07
2015-11-30,2080.409912109375,16.1299991607666,0.12,238.017,5.1,12317.0,91.3,40.43,2.26
2015-12-31,2043.93994140625,18.209999084472656,0.24,237.761,5.0,12387.9,92.6,37.13,2.24
2016-01-31,1940.239990234375,20.200000762939453,0.34,237.652,4.8,12518.5,92.0,33.66,2.09
2016-02-29,1932.22998046875,20.549999237060547,0.38,237.336,4.9,12603.9,91.7,32.74,1.78
2016-03-31,2059.739990234375,13.949999809265137,0.36,238.08,5.0,12661.8,91.0,36.94,1.89
2016-04-30,2065.300048828125,15.699999809265137,0.37,238.992,5.1,12743.2,89.0,45.98,1.81
2016-05-31,2096.949951171875,14.1899995803833,0.37,239.557,4.8,12802.0,94.7,49.1,1.81
2016-06-30,2098.860107421875,15.630000114440918,0.38,240.222,4.9,12852.5,93.5,48.27,1.64
2016-07-31,2173.60009765625,11.869999885559082,0.39,240.101,4.8,12911.9,90.0,41.54,1.5
2016-08-31,2170.949951171875,13.420000076293945,0.4,240.545,4.9,12989.7,89.8,44.68,1.56
2016-09-30,2168.27001953125,13.289999961853027,0.4,241.176,5.0,13054.9,91.2,47.72,1.63
2016-10-31,2126.14990234375,17.059999465942383,0.4,241.741,4.9,13122.8,87.2,46.83,1.76
2016-11-30,2198.81005859375,13.329999923706055,0.41,242.026,4.7,13208.7,93.8,49.41,2.14
2016-12-31,2238.830078125,14.039999961853027,0.54,242.637,4.7,13234.9,98.2,53.75,2.49
2017-01-31,2278.8701171875,11.989999771118164,0.65,243.618,4.7,13315.7,98.5,52.75,2.43
2017-02-28,2363.639892578125,12.920000076293945,0.66,244.006,4.6,13394.8,96.3,54.0,2.42
2017-03-31,2362.719970703125,12.369999885559082,0.79,243.892,4.4,13463.6,96.9,50.54,2.48
2017-04-30,2384.199951171875,10.819999694824219,0.9,244.193,4.4,13521.7,97.0,49.31,2.3
2017-05-31,2411.800048828125,10.40999984741211,0.91,244.004,4.4,13568.9,97.1,48.29,2.3
2017-06-30,2423.409912109375,11.180000305175781,1.04,244.163,4.3,13580.5,95.0,46.02,2.19
2017-07-31,2470.300048828125,10.260000228881836,1.15,244.243,4.3,13643.1,93.4,50.21,2.32
2017-08-31,2471.64990234375,10.59000015258789,1.16,245.183,4.4,13697.7,96.8,47.26,2.21
2017-09-30,2519.360107421875,9.510000228881836,1.15,246.435,4.3,13745.1,95.1,51.67,2.2
2017-10-31,2575.260009765625,10.180000305175781,1.15,246.626,4.2,13800.1,100.7,54.36,2.36
2017-11-30,2647.580078125,11.279999732971191,1.16,247.284,4.2,13843.5,98.5,57.4,2.35
2017-12-31,2673.610107421875,11.039999961853027,1.3,247.805,4.1,13881.7,95.9,60.46,2.4
2018-01-31,2823.81005859375,13.539999961853027,1.41,248.859,4.0,13900.3,95.7,64.82,2.58
2018-02-28,2713.830078125,19.850000381469727,1.42,249.529,4.1,13949.3,99.7,61.43,2.86
2018-03-31,2640.8701171875,19.969999313354492,1.51,249.577,4.0,14012.7,101.4,64.87,2.84
2018-04-30,2648.050048828125,15.930000305175781,1.69,250.227,4.0,14035.9,98.8,68.56,2.87
2018-05-31,2705.27001953125,15.430000305175781,1.7,250.792,3.8,14092.4,98.0,66.98,2.98
2018-06-30,2718.3701171875,16.09000015258789,1.82,251.018,4.0,14137.2,98.2,74.13,2.91
2018-07-31,2816.2900390625,12.829999923706055,1.91,251.214,3.8,14174.6,97.9,69.88,2.89
2018-08-31,2901.52001953125,12.859999656677246,1.91,251.663,3.8,14223.2,96.2,69.84,2.89
2018-09-30,2913.97998046875,12.119999885559082,1.95,252.182,3.7,14245.5,100.1,73.16,3.0
2018-10-31,2711.739990234375,21.229999542236328,2.19,252.772,3.8,14256.6,98.6,65.31,3.15
2018-11-30,2760.169921875,18.06999969482422,2.2,252.594,3.8,14282.8,97.5,50.78,3.12
2018-12-31,2506.85009765625,25.420000076293945,2.27,252.767,3.9,14386.8,98.3,45.15,2.83
2019-01-31,2704.10009765625,16.56999969482422,2.4,252.561,4.0,14459.7,91.2,53.84,2.71
2019-02-28,2784.489990234375,14.779999732971191,2.4,253.319,3.8,14506.3,93.8,57.21,2.68
2019-03-31,2834.39990234375,13.710000038146973,2.41,254.277,3.8,14557.5,98.4,60.19,2.57
2019-04-30,2945.830078125,13.119999885559082,2.42,255.233,3.7,14594.7,97.2,63.83,2.53
2019-05-31,2752.06005859375,18.709999084472656,2.39,255.296,3.6,14704.4,100.0,53.49,2.4
2019-06-30,2941.760009765625,15.079999923706055,2.38,255.213,3.6,14802.8,98.2,58.2,2.07
2019-07-31,2980.3798828125,16.1200008392334,2.4,255.802,3.7,14886.8,98.4,58.53,2.06
2019-08-31,2926.4599609375,18.979999542236328,2.13,256.036,3.6,14974.4,89.8,55.07,1.63
2019-09-30,2976.739990234375,16.239999771118164,2.04,256.43,3.5,15047.0,93.2,54.09,1.7
2019-10-31,3037.56005859375,13.220000267028809,1.83,257.155,3.6,15184.1,95.5,54.02,1.71
2019-11-30,3140.97998046875,12.619999885559082,1.55,257.879,3.6,15296.0,96.8,58.12,1.81
2019-12-31,3230.780029296875,13.779999732971191,1.55,258.63,3.6,15347.5,99.3,61.14,1.86
2020-01-31,3225.52001953125,18.84000015258789,1.55,259.127,3.6,15427.1,99.8,51.58,1.76
2020-02-29,2954.219970703125,40.11000061035156,1.58,259.25,3.5,15493.4,101.0,44.83,1.5
2020-03-31,2584.590087890625,53.540000915527344,0.65,258.076,4.4,16033.0,89.1,20.51,0.87
2020-04-30,2912.429931640625,34.150001525878906,0.05,256.032,14.8,17065.3,71.8,19.23,0.66
2020-05-31,3044.31005859375,27.510000228881836,0.05,255.802,13.2,17932.9,72.3,35.57,0.67
2020-06-30,3100.2900390625,30.43000030517578,0.08,257.042,11.0,18184.3,78.1,39.27,0.73
2020-07-31,3271.1201171875,24.459999084472656,0.09,258.352,10.2,18335.4,72.5,40.1,0.62
2020-08-31,3500.31005859375,26.40999984741211,0.1,259.316,8.4,18411.2,74.1,42.61,0.65
2020-09-30,3363.0,26.3700008392334,0.09,259.997,7.8,18602.5,80.4,40.05,0.68
2020-10-31,3269.9599609375,38.02000045776367,0.09,260.319,6.9,18757.6,81.8,35.64,0.79
2020-11-30,3621.6298828125,20.56999969482422,0.09,260.911,6.7,18997.0,76.9,45.2,0.87
2020-12-31,3756.070068359375,22.75,0.09,262.045,6.7,19115.7,80.7,48.35,0.93
2021-01-31,3714.239990234375,33.09000015258789,0.09,262.687,6.4,19379.0,79.0,52.16,1.08
2021-02-28,3811.14990234375,27.950000762939453,0.08,263.579,6.2,19641.8,76.8,61.55,1.26
2021-03-31,3972.889892578125,19.399999618530273,0.07,264.961,6.1,19873.2,84.9,59.19,1.61
2021-04-30,4181.169921875,18.610000610351562,0.07,266.614,6.1,20175.4,88.3,63.5,1.64
2021-05-31,4204.10986328125,16.760000228881836,0.06,268.383,5.8,20459.0,82.9,66.31,1.62
2021-06-30,4297.5,15.829999923706055,0.08,270.654,5.9,20477.1,85.5,73.52,1.52
2021-07-31,4395.259765625,18.239999771118164,0.1,271.903,5.4,20633.3,81.2,73.93,1.32
2021-08-31,4522.68017578125,16.479999542236328,0.09,272.676,5.1,20840.7,70.3,68.43,1.28
2021-09-30,4307.5400390625,23.139999389648438,0.08,273.91,4.7,20981.0,72.8,75.22,1.37
2021-10-31,4605.3798828125,16.260000228881836,0.08,276.55,4.5,21160.7,71.7,83.5,1.58
2021-11-30,4567.0,27.190000534057617,0.08,278.919,4.1,21335.9,67.4,66.14,1.56
2021-12-31,4766.18017578125,17.219999313354492,0.08,280.845,3.9,21498.8,70.6,75.33,1.47
2022-01-31,4515.5498046875,24.829999923706055,0.08,282.543,4.0,21650.0,67.2,89.16,1.76
2022-02-28,4373.93994140625,30.149999618530273,0.08,284.5,3.9,21724.8,62.8,96.13,1.93
2022-03-31,4530.41015625,20.559999465942383,0.2,287.674,3.7,21786.8,59.4,100.53,2.13
