,"SP500
Return",VIX,"FedFunds
","CPI
YoY","Unemploy
","M2
Growth","Sentiment
","Oil
Return","10Y Treas
"
"SP500
Return",0,1,0,0,0,0,0,1,0
VIX,-1,0,0,0,0,-1,0,0,0
"FedFunds
",0,0,0,-1,0,0,0,0,0
"CPI
YoY",0,0,-1,0,0,-1,0,0,0
"Unemploy
",0,0,0,0,0,0,-1,0,0
"M2
Growth",0,1,0,1,0,0,0,0,0
"Sentiment
",0,0,0,0,-1,0,0,0,0
"Oil
Return",-1,0,0,0,0,0,0,0,-1
"10Y Treas
",0,0,0,0,0,0,0,-1,0
