,SP500_ret,VIX,FEDFUNDS_d,CPI_yoy,UNRATE_d,M2_yoy,SENTIMENT_d,OIL_ret,GS10_d
SP500_ret,,0.1524642165690905,0.020997565176062955,0.0007855948523303427,2.5091926221657078e-06,0.004681407930913087,5.299962862695709e-09,0.03467454922248663,0.0021414680275436645
VIX,0.9260757097108787,,0.0007029878023640094,0.0015846340048965204,0.002905247258000186,0.0006107139093863425,5.98391796714004e-05,0.004290281326468198,0.05103277832052932
FEDFUNDS_d,0.24411922058631072,0.7878919419795605,,0.012148341376238898,6.558911400867062e-15,0.00018080172405608407,0.326945185569269,0.3980734810349038,0.15823033537280745
CPI_yoy,0.02599815336525749,0.13486281206310125,0.3720355381461438,,0.05853231501402495,0.0018892055545658227,0.2680948337681299,0.28726404912044745,0.007662670717450774
UNRATE_d,0.9168389686851549,0.721414758838189,0.00977260229118345,0.7343539638577704,,0.018504037148295682,0.7121373034426889,1.2382128713971795e-06,0.9577408209976113
M2_yoy,0.7521187362546111,0.5770550329024061,0.8908212512270989,0.06933783592018028,0.0041108729691087705,,0.5942172330789267,0.04708299734533893,0.49442960188536494
SENTIMENT_d,0.7426613368877664,0.7925682491451251,0.207873870300194,0.16468521805521502,0.09801326279194722,0.3002957177870816,,0.8682779755303351,0.2872129285350317
OIL_ret,0.2879802311858248,0.9060651493571861,0.027116810509800946,4.164276337860827e-10,4.290208083611872e-16,8.18244803810123e-06,0.7624790647921886,,0.01035480097075087
GS10_d,0.6251062576891897,0.6235131364241727,0.0007682468282871353,0.4009427282705619,0.009212489438709589,0.0011135623590152917,0.44110176001354057,0.23140989089017522,
